time_s,u_mps,v_mps,w_mps,p_radps,q_radps,r_radps,q0,q1,q2,q3,north_m,east_m,altitude_m,canard_rad,elevon_left_rad,elevon_right_rad,rudder_rad,throttle
1.45,199.994434743,1.91333676139,0.23147138905,-0.0545264221511,-5.66868974935e-05,-0.00137532954982,0.999971437603,0.00731032278039,0.000658463382016,-0.00180266076393,289.999910242,1.55270719738,4999.85961224,0,-0.0224382444146,0.038066207757,0.0126284752378,0.142850017614
1.5,199.994426444,1.89368840637,0.226594406531,-0.0486888446802,-8.80214706423e-05,-0.00106567195836,0.999979975893,0.00602131439656,0.000659204534659,-0.00183222151507,299.999918648,1.61146546874,4999.86031276,0,-0.0202914465565,0.035944100265,0.0130773031544,0.142854844972
1.55,199.994439986,1.87051930583,0.22130432526,-0.043414282496,-0.00012178190666,-0.000809206646396,0.999986198931,0.00487109567826,0.0006588317573,-0.0018548085765,309.999925852,1.66864824851,4999.86147336,0,-0.0183042916109,0.0339827691972,0.0134398969184,0.142859511564
1.6,199.994469709,1.84452093263,0.215669581402,-0.038653205296,-0.000156966637567,-0.000600899502221,0.999990635609,0.00384622124516,0.000657333335516,-0.00187168084091,319.999931359,1.72422069717,4999.86306536,0,-0.0164686352305,0.0321737429464,0.0137206930856,0.142863981132
1.65,199.994510781,1.81630731375,0.209760086218,-0.0343597329479,-0.000192617370817,-0.0004353430523,0.999993705528,0.00293443678962,0.000654717140526,-0.00188396656968,329.999934711,1.7781571494,4999.86505878,0,-0.0147759601148,0.0305082190746,0.0139253748891,0.142868225442
1.7,199.994559214,1.78641538152,0.203645729063,-0.0304914936588,-0.000227860232542,-0.000307027302295,0.999995740066,0.00212458997329,0.000651009644193,-0.00189265763767,339.999935494,1.83043988449,4999.86742272,0,-0.0132175877656,0.0289772672708,0.0140604224417,0.142872223587
1.75,199.994611828,1.75530758601,0.197394972726,-0.0270094540375,-0.000261931100466,-0.000210547987632,0.999996999629,0.00140654511416,0.000646254090101,-0.00189860973099,349.999933343,1.88105802651,4999.87012559,0,-0.0117848368547,0.0275719812209,0.014132742129,0.142875961189
1.8,199.994666196,1.72337614989,0.191073608282,-0.0238777341311,-0.000294188406497,-0.000140760298658,0.99999768773,0.000771102231909,0.000640508143094,-0.00190254703293,359.999927946,1.93000656826,4999.87313552,0,-0.0104691421371,0.0262835929856,0.0141493691669,0.14287942956
1.85,199.994720556,1.69094843973,0.184743709059,-0.0210634162938,-0.000324116420038,-9.28861851252e-05,0.999997962441,0.000209920738001,0.000633841276498,-0.0019050701384,369.999919043,1.97728551111,4999.87642056,0,-0.00926214383194,0.0251035594122,0.0141172359363,0.142882624879
1.9,199.994773722,1.65829301738,0.178462801312,-0.0185363537702,-0.000351321636523,-6.25830232595e-05,0.999997945679,-0.000284552132848,0.000626332096324,-0.00190666613761,379.999906428,2.02289911218,4999.87994901,0,-0.00815575454451,0.0240236272563,0.0140429980558,0.142885547388
1.95,199.994824987,1.62562601818,0.172283252411,-0.0162689828133,-0.000375524466068,-4.59808710587e-05,0.99999773071,-0.000719148178574,0.000618065748284,-0.00190771999801,389.999889946,2.0668552295,4999.88368964,0,-0.00714220878788,0.0230358817155,0.0139329100377,0.142888200659
2,199.994874036,1.59311757744,0.166251865421,-0.0142361407352,-0.000396547993677,-3.96948393463e-05,0.999997388195,-0.00110004048272,0.000609131507966,-0.00190852654569,399.999869494,2.10916475592,4999.88761194,0,-0.00621409875624,0.0221327817271,0.0137927426218,0.142890590916
2.05,199.994920858,1.56089809315,0.16040966098,-0.0124148913331,-0.000414305192175,-4.08183390668e-05,0.999996971045,-0.00143280122453,0.000599620617199,-0.00190930250056,409.999845012,2.14984113236,4999.89168627,0,-0.00536439902803,0.0213071844735,0.0136277343861,0.142892726443
2.1,199.994965673,1.52906416937,0.154791822762,-0.0107843584924,-0.000428785624555,-4.6902181493e-05,0.999996518311,-0.00172245523601,0.00058962440022,-0.00191019815373,419.999816487,2.18889993153,4999.8958841,0,-0.00458648221163,0.0205523609278,0.0134425708887,0.142894617061
2.15,199.995008863,1.4976841332,0.149427780722,-0.00932556835642,-0.000440042380739,-5.59237442535e-05,0.999996058278,-0.00197352951204,0.000579232670916,-0.00191130838941,429.999783944,2.22635850349,4999.90017809,0,-0.00387412709125,0.0198620038757,0.013241385335,0.142896273682
2.2,199.995050919,1.46680305806,0.144341406128,-0.00802130018205,-0.000448179754838,-6.62496971872e-05,0.999995610931,-0.00219009888707,0.000568532426205,-0.00191268284979,439.999747445,2.26223567521,4999.90454226,0,-0.0032215205224,0.0192302295828,0.0130277755301,0.142897707931
2.25,199.995092394,1.43644725794,0.139551293588,-0.00685594583608,-0.000453341979503,-7.65951235587e-05,0.999995189907,-0.00237582809323,0.00055760680946,-0.00191433511954,449.999707084,2.29655149689,4999.90895205,0,-0.0026232541138,0.0186515741013,0.0128048326346,0.142898931836
